"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","level_id","platform_code"
"104931-2330024","411","E Executive Center Circle and Executive Center Drive","EXCNTRNB","30.425187","-84.235084","","","0","","","1","",""
"104931-2330025","415","Old Saint Augustine Road EB at Social Security Office","OLDSOSEC","30.426171","-84.246546","","","0","","","1","",""
"104931-2330026","420","2600 Blair Stone Road","2600BLRS","30.425395","-84.24963","","","0","","","1","",""
"104931-2330027","425","Blair Stone Road and Winewood Boulevard","BLAI425","30.422526","-84.249316","","","0","","","1","",""
"104931-2330028","434","S Stadium Drive and Spirit Way","STA SHLT","30.443169","-84.306401","","","0","","","1","",""
"104931-2330029","438","Hayden Road and Bellevue Way","HAYD438","30.437428","-84.307491","","","0","","","1","",""
"104931-2330030","439","Bellevue Way and Rivoli Road","BELL439","30.438077","-84.309226","","","0","","","0","",""
"104931-2330031","441","Bellevue Way and Lovelace Drive","BELL441","30.43803","-84.312527","","","0","","","0","",""
"104931-2330032","442","Bellevue Way and S Ocala Road","BELL442","30.437999","-84.318063","","","0","","","1","",""
"104931-2330033","447","Blairstone Road and Old Saint Augustine Road","NBBLRAUG","30.428099","-84.249394","","","0","","","1","",""
"104931-2330034","463","Eisenhower Street and Orange Avenue","EISE463","30.414837","-84.334566","","","0","","","0","",""
"104931-2330035","466","Ridgeway Street and Kelly Street","EISE466","30.427206","-84.331719","","","0","","","0","",""
"104931-2330036","474","W Brevard Street and Dewey Street","W BR474","30.449094","-84.293812","","","0","","","1","",""
"104931-2330037","478","Woodward Avenue and Delaware Street","WOODDELA","30.45219","-84.298114","","","0","","","0","",""
"104931-2330038","479","Birmingham Street and Preston Street","BIRM479","30.452762","-84.299046","","","0","","","0","",""
"104931-2330039","481","Preston Street and Richmond Street","PRES481","30.452785","-84.302764","","","0","","","1","",""
"104931-2330040","483","Preston Street and Basin Street","PRESBASN","30.452703","-84.3063","","","0","","","0","",""
"104931-2330041","491","Colorado Street and W Tharpe Street","COLOTHRP","30.462931","-84.308031","","","0","","","1","",""
"104931-2330042","493","Old Bainbridge Road and Volusia Street","OLD 493","30.459028","-84.296357","","","0","","","1","",""
"104931-2330043","494","Volusia Street and Old Bainbridge Road","VOLU494","30.458257","-84.297204","","","0","","","0","",""
"104931-2330044","497","Joe Louis Street and Alabama Street","JOE 497","30.456444","-84.304904","","","0","","","0","",""
"104931-2330045","499","Alabama Street and Dade Street","ALAB499","30.456316","-84.297272","","","0","","","0","",""
"104931-2330047","501","Old Bainbridge Road and W 4th Avenue","OLDBA4TH","30.453769","-84.292734","","","0","","","1","",""
"104931-2330048","505","N Macomb Street and Georgia Street","N MA505","30.447403","-84.288373","","","0","","","1","",""
"104931-2330049","506","N Macomb Street and W Brevard Street","N MA506","30.449187","-84.288595","","","0","","","1","",""
"104931-2330050","508","N Macomb Street and Goodbread Lane","N MA508","30.451139","-84.288487","","","0","","","0","",""
"104931-2330051","516","W Tharpe Street and Dawsey Street","W TH516","30.463651","-84.289137","","","0","","","1","",""
"104931-2330052","517","W Tharpe Street and Martin Luther King Jr Boulevard","W TH517","30.463816","-84.286568","","","0","","","1","",""
"104931-2330053","518","Martin Luther King Jr Boulevard and Northwood Center","NORTWOOD","30.46539","-84.285453","","","0","","","1","",""
"104931-2330054","521","Allen Road at entrance to the Centre of Tallahassee","ALLE521","30.476994","-84.294154","","","0","","","1","",""
"104931-2330056","523","Allen Road and Acorn Grove Court","ALLE523","30.478838","-84.294228","","","0","","","1","",""
"104931-2330057","526","1325 W Tharpe Street","1525 W THARPE ST","30.463458","-84.305012","","","0","","","1","",""
"104931-2330058","531","Fulton Road and Arbor Station Lane","FULT531","30.4816","-84.289862","","","0","","","1","",""
"104931-2330059","532","Fulton Road near Sealy Elementary","FULT532","30.481657","-84.291419","","","0","","","1","",""
"104931-2330060","533","Grady Road and Tilden Lane","GRAD533","30.483629","-84.288991","","","0","","","1","",""
"104931-2330061","534","Grady Road and Steele Drive","GRAD534","30.485253","-84.289118","","","0","","","1","",""
